activationDate;UID;SAM;paymentInRubles
2019-03-26;36086783413988612;1129387871719808;500
2019-03-26;591225485;1129392166687104;1000
2019-03-26;36126117389612292;1153426791291520;1200
2019-03-26;36076389723024644;1153439676193408;300
2019-03-26;36132172090641924;1153439676193408;200
2019-03-26;36115506402977284;1154603612330624;400
2019-03-26;3838619955;1156712441272960;1000
2019-03-26;36126675737728772;1156721031207552;300
2019-03-26;3832856221;1156725326174848;500
2019-03-26;36122283194073860;1156738211076736;1000
2019-03-26;36125564681340420;1157829132769920;500
2019-03-26;36076408517185540;1157854902573696;1000
2019-03-26;36108988796573444;1157936506952320;500
2019-03-26;593683325;1157966571723392;400
2019-03-26;36125180685208068;1159151982697088;500
2019-03-26;36130104734788100;1159177752500864;500
2019-03-26;36125172495882756;1160096875502208;200
2019-03-26;36126112826337796;1160277264128640;180
2019-03-26;36126099538980356;1162296176499328;1000
2019-03-26;36125181089759236;1162304766433920;1500
2019-03-26;36115506134535940;1162364895976064;200
2019-03-26;36132824518708484;1162386370812544;500
2019-03-26;36128904829622788;1162446500354688;500
2019-03-26;36064300064610564;1162446500354688;300
2019-03-26;36131398590283012;1163330985876096;500
2019-03-26;36132835255325188;1163335280843392;100
2019-03-26;36076408912894212;1163348443486848;2000
2019-03-26;4245103747;1163352460712576;500
2019-03-26;36133323005429508;1163361050647168;2000
2019-03-26;36115506138537988;1163408295287424;114
2019-03-26;36102822156523524;1163408573028992;500
2019-03-26;36076397109524996;1163438360058496;50
2019-03-26;36128902275374084;1163451244960384;500
2019-03-26;4112731411;1163468424829568;300
2019-03-26;36125784533833476;1163507079535232;300
2019-03-26;36126104639707652;1163511374502528;400
2019-03-26;36125898753845508;1163511652244096;216
2019-03-26;36067810524485892;1163537422047872;500
2019-03-26;36126104505045508;1164452250081920;75
2019-03-26;36075740383028740;1164456545049216;100
2019-03-26;36116255341483780;1164456545049216;168
2019-03-26;4245100147;1164464857242240;200
2019-03-26;36108988793490692;1164473447176832;500
2019-03-26;36118021243415812;1164477742144128;2000
2019-03-26;36064302072948996;1164478019885696;500
2019-03-26;36125571127006212;1164503789689472;100
2019-03-26;36085872205584644;1164567936457344;500
2019-03-26;36108988791422724;1164593984002688;200
2019-03-26;36125887612325636;1164602296195712;100
2019-03-26;36126097260888068;1164619476064896;500
2019-03-26;36108270462971396;1164624048773760;300
2019-03-26;36066742157456644;1164654113544832;100
2019-03-26;4251264371;1165534304098944;700
2019-03-26;36125172498054660;1165534304098944;100
2019-03-26;3880070960;1165534304098944;200
2019-03-26;66358317;1165538599066240;300
2019-03-26;36125180285170436;1165543171775104;300
2019-03-26;489474093;1165560351644288;100
2019-03-26;36125180150698500;1165568941578880;100
2019-03-26;3888247376;1165620203444864;300
2019-03-26;36127153281569796;1165637383314048;300
2019-03-26;36128904823590404;1165658858150528;300
2019-03-26;36116857439856132;1165693495630464;2000
2019-03-26;1883538451;1165697790597760;150
2019-03-26;36127155831457540;1165727577627264;500
2019-03-26;36073783212995588;1165749330205312;1000
2019-03-26;36116255070966788;1165775100009088;250
2019-03-26;36126676675807748;1166651273337472;200
2019-03-26;36093357398128388;1166689928043136;200
2019-03-26;36124339408932356;1166698517977728;50
